Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
EOA,B,0.75,0.75,Lightning,BLM,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,7
EOA,C,80,80,Lightning,Other Private,Union,Reg Use Closure,Does Not Apply - Eastern OR,97,8
SOA,A,0.1,0.1,Human,BLM,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
NOA,A,0.01,0.01,Human,State,Benton,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,55,7
NOA,A,0.01,0.01,Lightning,Industrial,Polk,Reg Use Closure,Lvl 3 Restricted Shutdown,55,8
EOA,A,0.01,0.01,Lightning,Industrial,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,A,0,0,Human,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,99,8
NOA,A,0.01,0.01,Human,Rural Residential,Clatsop,Reg Use Closure,Lvl 1 Fire Season Only,52,9
EOA,A,0.01,0.01,Human,Other Private,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
NOA,B,3,3,Human,Industrial,Clatsop,Reg Use Closure,Lvl 1 Fire Season Only,52,6
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,9
SOA,A,0.01,0.01,Human,BLM,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,10
SOA,B,1.5,1.5,Lightning,Small Woodlands,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
EOA,A,0.01,0.01,Human,Industrial,Wallowa,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,97,10
SOA,A,0.1,0.1,Human,State,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,9
SOA,A,0.25,0.25,Lightning,BLM,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
SOA,A,0.01,0.01,Lightning,Industrial,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,73,9
SOA,A,0.1,0.1,Human,Industrial,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,77,8
SOA,A,0.01,0.01,Lightning,Industrial,Linn,Reg Use Closure,Lvl 1 Fire Season Only,77,7
NOA,A,0.01,0.01,Human,County,Columbia,Reg Use Closure,Lvl 1 Fire Season Only,53,8
NOA,A,0.14,0.14,Human,Industrial,Benton,Outside Closed Fire Season,Outside Closed Fire Season,55,7
SOA,A,0.1,0.1,Lightning,BLM,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
EOA,A,0.05,0.05,Lightning,Other Private,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,9
EOA,A,0.25,0.25,Lightning,State,Klamath,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,99,5
NOA,B,5,5,Human,Industrial,Linn,Outside Closed Fire Season,Outside Closed Fire Season,58,12
NOA,A,0.13,0.13,Human,Small Woodlands,Clatsop,Reg Use Closure,Lvl 1 Fire Season Only,52,8
EOA,B,,1.5,Human,ERROR: #N/A,Deschutes,,,95,10
NOA,A,0.1,0.1,Human,Rural Residential,Columbia,Closed Fire Season Lvl 1,Lvl 2 Limited Shutdown,53,9
NOA,G,5521,1676,Human,USFS,Clackamas,Reg Use Closure,Lvl 3 Restricted Shutdown,58,9
SOA,A,0.25,0,Lightning,USFS,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,9
EOA,A,0.1,0.1,Lightning,Industrial,Lake,Reg Use Closure,Does Not Apply - Eastern OR,98,8
NOA,C,27,27,Human,Other Public,Clatsop,Reg Use Closure,Lvl 2 Limited Shutdown,52,8
NOA,A,0.1,0.1,Human,Other Private,Polk,Reg Use Closure,Lvl 2 Limited Shutdown,55,7
SOA,B,0.5,0.5,Lightning,Industrial,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.01,0.01,Human,Other Private,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,10
SOA,A,0.1,0.1,Human,County,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,78,8
SOA,A,0.01,0.01,Human,BLM,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,9
SOA,A,0.1,0.1,Human,BLM,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,10
SOA,A,0.01,0.01,Human,State,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,B,0.35,0.35,Human,Industrial,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,9
NOA,C,19.25,19.25,Human,State,Washington,Reg Use Closure,Lvl 2 Limited Shutdown,53,8
SOA,B,0.5,0.5,Lightning,BLM,Jackson,Reg Use Closure,Lvl 4 Complete Shutdown,71,9
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,5
SOA,A,0.01,0.01,Human,State,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,9
EOA,C,79.6,30,Lightning,Small Woodlands,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,8
NOA,A,0.01,0.01,Human,Rural Residential,Clatsop,Outside Closed Fire Season,Outside Closed Fire Season,52,6
NOA,B,0.75,0.75,Human,Rural Residential,Marion,Reg Use Closure,Lvl 1 Fire Season Only,58,10
SOA,A,0.1,0.1,Lightning,BLM,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,A,,0.1,Human,ERROR: #N/A,Deschutes,,,95,9
EOA,A,0.1,0.1,Lightning,State,Wallowa,Outside Closed Fire Season,Outside Closed Fire Season,97,6
SOA,A,0.13,0.13,Human,BLM,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.01,0.01,Human,State,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.02,0.01,Human,County,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,5
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,4
SOA,A,0.25,0.25,Human,BLM,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
NOA,A,0.25,0.25,Human,ERROR: #N/A,Yamhill,,,53,6
SOA,A,0.1,0.1,Human,State,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
EOA,A,,0.1,Human,Rural Residential,Klamath,,,98,7
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,99,6
EOA,A,0.1,0.1,Lightning,Small Woodlands,Baker,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,B,0.5,0.5,Lightning,Industrial,Lake,Reg Use Closure,Does Not Apply - Eastern OR,98,8
EOA,A,0.01,0.01,Human,Rural Residential,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,8
EOA,A,0.01,0.01,Lightning,Industrial,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,7
EOA,A,0,0,Human,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,99,7
NOA,B,0.75,0.75,Human,Other Private,Benton,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,55,7
EOA,B,2,2,Lightning,Industrial,Umatilla,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
SOA,B,1,1,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,4
EOA,A,0.01,0.01,Human,Rural Residential,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,State,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
EOA,A,0.25,0.25,Lightning,Industrial,Lake,Reg Use Closure,Does Not Apply - Eastern OR,98,7
EOA,A,0.01,0.01,Human,Industrial,Klamath,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,99,5
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
EOA,A,0.1,0.1,Lightning,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,7
EOA,A,0.12,0.12,Lightning,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,9
NOA,A,0,0,Human,USFS,Linn,Reg Use Closure,Unspecified,58,9
EOA,B,0.75,0.75,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
SOA,A,0.01,0.01,Lightning,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.01,0.01,Human,State,Lane,Reg Use Closure,Lvl 1 Fire Season Only,78,8
NOA,A,0.03,0.03,Lightning,Small Woodlands,Yamhill,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,53,7
SOA,B,1.5,1.5,Human,Small Woodlands,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
NOA,A,0.01,0.01,Human,Other Private,Marion,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,58,7
NOA,A,0.25,0.25,Human,Ocean Shores,Tillamook,Reg Use Closure,Lvl 1 Fire Season Only,51,8
SOA,B,0.5,0.5,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,73,10
EOA,A,0.25,0.25,Lightning,BLM,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,8
NOA,A,0.25,0.25,Human,Industrial,Clatsop,Reg Use Closure,Lvl 1 Fire Season Only,52,9
SOA,B,0.5,0.5,Human,Rural Residential,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,10
SOA,B,1,1,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,B,4.3,4.3,Lightning,Small Woodlands,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,A,0.01,0.01,Human,Small Woodlands,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,10
EOA,B,0.3,0.3,Human,Industrial,Klamath,Outside Closed Fire Season,Does Not Apply - Eastern OR,98,4
EOA,A,0.01,0.01,Lightning,Industrial,Crook,Reg Use Closure,Does Not Apply - Eastern OR,95,9
SOA,A,0.01,0.01,Human,Municipal,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,77,9
EOA,A,0.15,0.15,Human,Rural Residential,Jefferson,Outside Closed Fire Season,Does Not Apply - Eastern OR,95,10
SOA,B,0.75,0.75,Human,Rural Residential,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,6
EOA,A,0.1,0.1,Lightning,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,County,Jackson,Permit Closure,Lvl 3 Restricted Shutdown,71,7
NOA,A,0.25,0,Human,Other Private,Polk,Reg Use Closure,Lvl 1 Fire Season Only,55,8
SOA,A,0.01,0.01,Human,County,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
EOA,A,0.25,0.25,Human,State,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,A,0.01,0.01,Human,Rural Residential,Deschutes,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,7
NOA,A,0.01,0.01,Human,Rural Residential,Multnomah,Reg Use Closure,Lvl 1 Fire Season Only,53,9
NOA,B,8,8,Human,Industrial,Tillamook,Reg Use Closure,Lvl 1 Fire Season Only,51,7
NOA,A,0.02,0,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 1 Fire Season Only,58,7
EOA,B,8.5,8.5,Human,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
SOA,B,0.5,0.5,Human,State,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,7
EOA,A,0.01,0.01,Lightning,Industrial,Jefferson,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,7
EOA,A,0.01,0.01,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,6
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.25,0.25,Human,Other Private,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,8
SOA,A,0.01,0.01,Human,Ocean Shores,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,78,6
NOA,B,4.6,0.18,Human,Rural Residential,Polk,Outside Closed Fire Season,Outside Closed Fire Season,55,3
EOA,A,0.1,0.1,Human,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,A,0.02,0.02,Lightning,Industrial,Lake,Reg Use Closure,Does Not Apply - Eastern OR,99,8
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,B,1.5,1.5,Human,Industrial,Curry,Reg Use Closure,Lvl 1 Fire Season Only,72,8
SOA,B,1.5,1.5,Human,State,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,C,25,0,Lightning,USFS,Union,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,A,0.1,0.1,Lightning,Industrial,Jefferson,Reg Use Closure,Does Not Apply - Eastern OR,95,8
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
NOA,A,0.01,0.01,Human,State,Columbia,Reg Use Closure,Lvl 2 Limited Shutdown,53,8
EOA,A,0.01,0.01,Human,Other Private,Wheeler,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,7
SOA,A,0.25,0.25,Human,Rural Residential,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,7
SOA,A,0.01,0,Human,State,Coos,Closed Fire Season Lvl 1,Lvl 2 Limited Shutdown,72,7
SOA,A,0.03,0.03,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,78,6
SOA,A,0.01,0,Human,County,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,10
NOA,A,0.25,0.25,Human,Rural Residential,Benton,Reg Use Closure,Lvl 1 Fire Season Only,55,10
SOA,A,0.2,0.2,Human,Industrial,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,10
SOA,A,0.01,0.01,Human,Industrial,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,6
SOA,A,0.01,0.01,Human,County,Lane,Reg Use Closure,Does Not Apply - Eastern OR,78,7
EOA,A,0.25,0.25,Lightning,Other Private,Baker,Reg Use Closure,Does Not Apply - Eastern OR,97,8
NOA,B,4,0.01,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 1 Fire Season Only,58,8
SOA,B,1.3,1.3,Human,Industrial,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,7
SOA,A,0.1,0.1,Human,Other Private,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,6
EOA,A,0.01,0.01,Lightning,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,B,3,3,Human,Small Woodlands,Lane,Reg Use Closure,Lvl 1 Fire Season Only,78,7
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,B,2.5,2.5,Human,Rural Residential,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,7
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,6
SOA,B,2,2,Lightning,BLM,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.01,0.01,Human,Rural Residential,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,6
SOA,A,0.01,0.01,Human,State,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,9
SOA,A,0.1,0.1,Human,State,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
NOA,B,1,1,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,58,10
EOA,A,,0.2,Human,Other Public,Klamath,,,99,8
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
NOA,A,0.1,0.1,Human,Industrial,Yamhill,Reg Use Closure,Lvl 2 Limited Shutdown,53,9
SOA,A,0.01,0.01,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,6
EOA,A,0.01,0.01,Human,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,B,0.5,0.5,Human,Small Woodlands,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,6
SOA,B,0.5,0.5,Human,Rural Residential,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,6
SOA,A,0.01,0.01,Lightning,Industrial,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,6
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,5
NOA,B,1,1,Human,Rural Residential,Columbia,Reg Use Closure,Lvl 2 Limited Shutdown,53,9
NOA,B,0.4,0.4,Human,Small Woodlands,Benton,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,55,7
SOA,A,0.1,0.1,Lightning,Other Private,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
NOA,A,0.01,0.01,Human,State,Tillamook,Outside Closed Fire Season,Outside Closed Fire Season,51,4
EOA,A,0.01,0.01,Lightning,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,A,0.25,0.25,Human,Rural Residential,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,7
EOA,A,0.1,0.1,Lightning,Other Private,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
EOA,A,0.1,0.1,Human,State,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,9
EOA,A,0.01,0.01,Human,Industrial,Klamath,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,98,6
EOA,A,0.1,0.1,Lightning,Small Woodlands,Crook,Reg Use Closure,Does Not Apply - Eastern OR,95,8
EOA,C,100,25,Human,USFS,Union,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,9
SOA,A,0.1,0.1,Human,State,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,73,9
SOA,B,7,7,Human,Industrial,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,10
EOA,A,0.01,0.01,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
EOA,A,0.25,0.25,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
EOA,A,0.1,0.1,Human,Rural Residential,Deschutes,Outside Closed Fire Season,Does Not Apply - Eastern OR,95,5
NOA,B,3.5,3.5,Human,Other Public,Yamhill,Outside Closed Fire Season,Outside Closed Fire Season,55,3
SOA,A,0.25,0.25,Human,Rural Residential,Lane,Outside Closed Fire Season,Lvl 1 Fire Season Only,78,6
NOA,A,0.1,0.1,Human,Small Woodlands,Lincoln,Reg Use Closure,Lvl 2 Limited Shutdown,55,8
NOA,A,0.01,0.01,Human,Industrial,Yamhill,Reg Use Closure,Lvl 1 Fire Season Only,55,7
SOA,A,0.1,0.1,Lightning,Rural Residential,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
EOA,A,0.1,0.1,Lightning,Small Woodlands,Crook,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
EOA,B,2,2,Lightning,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,9
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,7
NOA,B,0.5,0.5,Human,Other Private,Clackamas,Reg Use Closure,Lvl 3 Restricted Shutdown,58,8
EOA,C,24,24,Human,Industrial,Lake,Reg Use Closure,Does Not Apply - Eastern OR,98,7
SOA,A,0.01,0.01,Human,State,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,7
NOA,A,0.25,0.25,Human,Rural Residential,Marion,Reg Use Closure,Lvl 2 Limited Shutdown,58,9
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,A,0.01,0.01,Lightning,Industrial,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,9
EOA,A,0.01,0.01,Lightning,BLM,Crook,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,A,0.01,0.01,Human,Other Private,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,7
SOA,B,1,1,Lightning,Other Private,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.01,0.01,Human,BLM,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,6
NOA,A,0.02,0.02,Human,Other Private,Clackamas,Reg Use Closure,Lvl 3 Restricted Shutdown,58,9
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
EOA,A,0.1,0.1,Human,Rural Residential,Klamath,Outside Closed Fire Season,Does Not Apply - Eastern OR,98,5
SOA,A,0.01,0.01,Human,Industrial,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,7
SOA,A,0.2,0.2,Human,Other Private,Linn,Reg Use Closure,Lvl 2 Limited Shutdown,77,8
SOA,B,0.75,0.75,Lightning,BLM,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
SOA,A,0.01,0.01,Human,County,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,6
NOA,A,0.01,0.01,Human,State,Columbia,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,53,7
SOA,A,0.1,0.1,Lightning,Small Woodlands,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
EOA,A,0.01,0.01,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
EOA,A,0.02,0.02,Human,Rural Residential,Deschutes,Outside Closed Fire Season,Does Not Apply - Eastern OR,95,5
EOA,A,0.01,0.01,Human,Small Woodlands,Morrow,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,10
EOA,A,0.01,0.01,Lightning,Industrial,Wallowa,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,97,8
EOA,C,27,27,Human,Small Woodlands,Union,Outside Closed Fire Season,Does Not Apply - Eastern OR,97,11
SOA,B,3.5,3.5,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,3
EOA,A,0.01,0.01,Lightning,Small Woodlands,Crook,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,B,1.01,1.01,Human,Other Private,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,7
SOA,A,0.01,0.01,Lightning,Industrial,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
EOA,A,0.1,0.1,Lightning,Small Woodlands,Umatilla,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
SOA,B,1.5,1.5,Human,Municipal,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.01,0.01,Human,BLM,Linn,Reg Use Closure,Lvl 2 Limited Shutdown,77,7
EOA,B,8,8,Lightning,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,7
NOA,B,0.5,0,Human,Rural Residential,Tillamook,Reg Use Closure,Lvl 1 Fire Season Only,51,8
EOA,B,1,1,Lightning,Industrial,Umatilla,Reg Use Closure,Does Not Apply - Eastern OR,97,9
SOA,A,0.25,0.25,Human,State,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,8
NOA,B,1,1,Human,Other Private,Yamhill,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,53,7
NOA,A,0.25,0,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 3 Restricted Shutdown,58,9
SOA,A,0.04,0,Human,State,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,10
SOA,B,1,1,Human,BLM,Lane,Outside Closed Fire Season,Outside Closed Fire Season,78,10
SOA,C,18.35,18,Human,Industrial,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,6
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,5
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,B,0.5,0.5,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,9
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,D,206,206,Human,Industrial,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,1
SOA,A,0.05,0.05,Human,Rural Residential,Linn,Reg Use Closure,Lvl 2 Limited Shutdown,77,9
SOA,B,4,4,Human,Rural Residential,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,6
SOA,A,0.01,0.01,Human,Other Public,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.01,0.01,Lightning,BLM,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.01,0.01,Lightning,BLM,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.01,0.01,Human,State,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,77,7
SOA,A,0.1,0.1,Human,Other Private,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,77,7
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.01,0,Human,Other Public,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,8
EOA,A,0.1,0.1,Lightning,Other Private,Crook,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
SOA,A,0.01,0.01,Human,Small Woodlands,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,9
SOA,B,6.2,6.2,Lightning,BLM,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,B,0.5,0.5,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,73,10
NOA,A,0.01,0.01,Human,State,Clatsop,Outside Closed Fire Season,Outside Closed Fire Season,52,6
EOA,C,28.41,28.41,Human,Small Woodlands,Deschutes,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,11
SOA,B,1,1,Human,Municipal,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,E,633,633,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,9
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,C,10.5,10.5,Lightning,BLM,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,8
EOA,A,0.1,0.1,Human,Rural Residential,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,Other Private,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
NOA,A,0.01,0.01,Lightning,BIA,Lincoln,Reg Use Closure,Lvl 1 Fire Season Only,55,8
